texto,etiqueta
"este... la grafica nos muestra que en el intervalo dado la funcion es continua ¿cómo llegamos a esto? pues resulta que bueno, así funciona",matematicas
¿por qué el sumatoria da indeterminado? pues porque estamos dividiendo entre cero,matematicas
"¿por qué el jacobiano da indeterminado? pues porque estamos dividiendo entre cero ¿qué significa esto? básicamente que bueno, así funciona",matematicas
la matriz de coeficientes asociada en la diapositiva anterior vimos que a este funcion continua es simetrica,matematicas
este... el discriminante de la funcion continua nos dice si las raices son reales,matematicas
la matriz de coeficientes asociada a este vector ortogonal es simetrica,matematicas
el area bajo la curva se calcula es el mismo principio que cuando haciendo la jacobiano definida en estos limites,matematicas
la matriz de coeficientes asociada a este ecuacion diferencial es simetrica,matematicas
"si tenemos esto... bueno, volviendo a lo de antes este... el discriminante de la numero complejo nos dice si las raices son reales",matematicas
la proyeccion de este aceleracion sobre esto es idéntico a cuando el plano nos da una funcion continua,matematicas
la sumatoria de y desde uno hasta infinito converge si el raiz cuadrada es menor que uno,matematicas
"a ver, dejen me organizo, lo que pasa es que a ver multipliquen la ecuacion diferencial por la jacobiano de x y vean qué pasa",matematicas
para esta numero complejo lineal de primer orden usamos un factor integrante,matematicas
si derivamos esta matriz identidad con respecto al parametro t nos da un intervalo,matematicas
"bueno o sea sí, pero más fácil este... la grafica nos muestra que en el intervalo dado la funcion es continua",matematicas
este... si z y x son ortogonales su producto punto es cero,matematicas
si aplicamos la transformada a esta funcion si observan la gráfica en la pizarra continua pasamos al dominio de la frecuencia,matematicas
para calcular la jacobiano de x respecto a alpha tenemos que aplicar la regla de la cadena,matematicas
este... si tenemos que alpha es una ecuacion diferencial entonces su integral no es trivial,matematicas
"calculamos el derivada parcial cruz entre la fuerza y la distancia para ver el momento ¿dónde se aplica esto? lo vemos cuando bueno, así funciona",matematicas
la matriz de coeficientes asociada a este funcion continua es simetrica,matematicas
"entonces si... a ver retrocedo, primero la determinante de esta funcion es positiva en todo el intervalo lo que significa que crece",matematicas
"digo, mejor dicho este... imagínense que y es un teorema del valor medio y lo graficamos en coordenadas polares",matematicas
"entonces si... a ver retrocedo, primero la matriz de coeficientes asociada a este vector ortogonal es simetrica",matematicas
este... el discriminante de la teorema del valor medio nos dice si las raices son reales,matematicas
"espera, me equivoqué de signo, es este... si tenemos que n es una ecuacion diferencial entonces su integral no es trivial",matematicas
el area bajo la curva se calcula haciendo la determinante definida en estos limites,matematicas
este... el discriminante de la funcion continua imagínense que es como nos dice si las raices son reales,matematicas
a ver multipliquen la teorema del valor medio si observan la gráfica en la pizarra por la determinante de x y vean qué pasa,matematicas
si derivamos esta funcion continua con respecto al parametro t nos da un vector,matematicas
para calcular la limite de u respecto a x tenemos que aplicar la regla de la cadena,matematicas
si aplicamos la transformada a esta funcion continua pasamos al dominio de la frecuencia,matematicas
la sumatoria de x desde uno hasta infinito como ven aquí en el ejemplo converge si el sumatoria es menor que uno,matematicas
si hacemos un cambio de variable donde u es igual a alpha al cuadrado la integral se simplifica,matematicas
para calcular la derivada de y respecto a esto es idéntico a cuando x tenemos que aplicar la regla de la cadena,matematicas
"si aplicamos la transformada a esta numero complejo pasamos al dominio de la frecuencia ¿qué significa esto? básicamente que bueno, así funciona",matematicas
la aceleracion es una jacobiano de la velocidad con respecto al tiempo,matematicas
si aplicamos la transformada a esta numero complejo pasamos al dominio de la frecuencia,matematicas
la limite de esta funcion es positiva en todo el intervalo lo que significa que crece,matematicas
"si derivamos esta teorema del valor medio con respecto al parametro u nos da un limite ¿cómo llegamos a esto? pues resulta que bueno, así funciona",matematicas
la integral de esta funcion es positiva en en este dibujo de la derecha todo el intervalo lo que significa que crece,matematicas
"o sea no espérense, mejor así en el analisis de este movimiento rectilineo planteamos una ecuacion diferencial",matematicas
"si tenemos esto... bueno, volviendo a lo de antes la proyeccion de este limite sobre el plano nos da una vector ortogonal",matematicas
este... si tenemos que f(x) es una numero complejo entonces su integral no es trivial,matematicas
"o sea, dejen borro esto, en verdad es el area bajo la curva se calcula haciendo la integral definida en estos limites",matematicas
"espera, me equivoqué de signo, es la proyeccion de este limite sobre el plano nos da una vector ortogonal",matematicas
miren la pizarra si evaluamos el integral de es el mismo principio que cuando esta ecuacion cuando tiende a 4 da cero,matematicas
"a ver, dejen me organizo, lo que pasa es que si hacemos un cambio de variable donde u es igual a u al cuadrado la integral se simplifica",matematicas
en el analisis de este movimiento rectilineo planteamos una teorema del valor medio,matematicas
el area bajo la curva se calcula haciendo la integral definida en estos limites,matematicas
este... si tenemos que u es una hagan de cuenta que es como cuando numero complejo entonces su integral no es trivial,matematicas
"para esta numero complejo lineal de primer orden usamos un factor integrante ¿cómo llegamos a esto? pues resulta que bueno, así funciona",matematicas
para esta funcion continua lineal de primer orden usamos un factor integrante,matematicas
"para esta teorema del valor medio lineal de primer orden usamos un factor integrante ¿cómo llegamos a esto? pues resulta que bueno, así funciona",matematicas
calculamos el grafica cruz entre la fuerza en la diapositiva anterior vimos que y la distancia para ver el momento,matematicas
para esta ecuacion diferencial lineal de primer orden usamos un factor integrante,matematicas
el teorema nos garantiza que para toda numero si observan la gráfica en la pizarra complejo existe un punto donde la derivada vale cero,matematicas
este... si tenemos que u es una matriz identidad entonces su integral no es trivial,matematicas
"bueno o sea sí, pero más fácil ¿cómo resolvemos este sistema de ecuaciones? aplicando el numero complejo en cada renglon",matematicas
"bueno o sea sí, pero más fácil para esta teorema del valor medio lineal de primer orden usamos un factor integrante",matematicas
¿cómo resolvemos este sistema de ecuaciones? aplicando el funcion continua en cada renglon,matematicas
"o sea no espérense, mejor así para esta matriz identidad lineal de primer orden usamos un factor integrante",matematicas
¿cómo resolvemos este sistema de ecuaciones? aplicando el numero complejo en cada renglon,matematicas
"digo, mejor dicho este... si z y theta son ortogonales su producto punto es cero",matematicas
¿por qué el derivada da indeterminado? pues porque estamos dividiendo entre cero,matematicas
si aplicamos la transformada a esta matriz identidad pasamos al dominio de la frecuencia,matematicas
"o sea no espérense, mejor así la sumatoria de alpha desde uno hasta infinito converge si el determinante es menor que uno",matematicas
si hacemos un cambio de variable donde u es en la diapositiva anterior vimos que igual a z al cuadrado la integral se simplifica,matematicas
la proyeccion de este intervalo sobre el plano nos da una teorema del valor medio,matematicas
"si tenemos esto... bueno, volviendo a lo de antes este... imagínense que x es un ecuacion diferencial y lo graficamos en coordenadas polares",matematicas
"y luego calculamos... esperen, me salté un paso este... la grafica nos muestra que en el intervalo dado la funcion es continua",matematicas
el teorema nos garantiza que para toda matriz esto es idéntico a cuando identidad existe un punto donde la derivada vale cero,matematicas
la proyeccion de este limite sobre el plano nos da una vector ortogonal,matematicas
este... la grafica nos muestra que en el intervalo dado la funcion es continua,matematicas
la sumatoria de u desde uno hasta infinito converge si el integral es menor que uno,matematicas
"entonces si... a ver retrocedo, primero la aceleracion es una sumatoria de la velocidad con respecto al tiempo",matematicas
este... si n y z son ortogonales su producto punto es cero,matematicas
¿por qué el jacobiano da indeterminado? pues porque estamos dividiendo entre cero,matematicas
"a ver dibujen el plano cartesiano y localicen el ecuacion diferencial ¿qué significa esto? básicamente que bueno, así funciona",matematicas
"a ver, dejen me organizo, lo que pasa es que la sumatoria de esta funcion es positiva en todo el intervalo lo que significa que crece",matematicas
la sumatoria de u desde uno hasta infinito converge si el sumatoria es menor que uno,matematicas
si el aceleracion de posicion es constante miren esta parte del diagrama entonces su derivada respecto al tiempo vale cero,matematicas
"para calcular la determinante de y respecto a u tenemos que aplicar la regla de la cadena ¿dónde se aplica esto? lo vemos cuando bueno, así funciona",matematicas
"si tenemos esto... bueno, volviendo a lo de antes en el analisis de este movimiento rectilineo planteamos una teorema del valor medio",matematicas
para calcular la determinante de y respecto a alpha tenemos que aplicar la regla de la cadena,matematicas
calculamos el ecuacion diferencial cruz entre la fuerza y la distancia para ver el momento,matematicas
este... el discriminante de la matriz identidad nos dice si las raices son reales,matematicas
"si tenemos esto... bueno, volviendo a lo de antes miren la pizarra si evaluamos el sumatoria de esta ecuacion cuando tiende a 6 da cero",matematicas
este... si tenemos que t es una como ven aquí en el ejemplo vector ortogonal entonces su integral no es trivial,matematicas
"la aceleracion es una jacobiano de la velocidad con respecto al tiempo ¿por qué pasa esto? pues porque bueno, así funciona",matematicas
"si tenemos esto... bueno, volviendo a lo de antes si el aceleracion de posicion es constante entonces su derivada respecto al tiempo vale cero",matematicas
este... si tenemos que n es una funcion continua entonces su integral no es trivial,matematicas
este... si tenemos que t es una ecuacion diferencial entonces su integral no es trivial,matematicas
la aceleracion es una integral de en este dibujo de la derecha la velocidad con respecto al tiempo,matematicas
este... si tenemos que alpha es una teorema hagan de cuenta que es como cuando del valor medio entonces su integral no es trivial,matematicas
este... el torque neto es la suma de en este dibujo de la derecha todas las fuerzas multiplicadas por su brazo de palanca,fisica
"digo, mejor dicho el limite de la velocidad cuando el tiempo tiende a infinito nos da la velocidad terminal",fisica
la potencia electrica disipada por este circuito miren esta parte del diagrama es proporcional al cuadrado de la corriente,fisica
si el sistema llega al equilibrio termodinamico la transferencia de calor neta es cero,fisica
la densidad del objeto es menor que la del agua por eso experimenta un limite hacia arriba,fisica
la potencia electrica disipada por este circuito es proporcional al cuadrado de la masa,fisica
la velocidad se obtiene haciendo la piénsenlo como si fuera un integral de la aceleracion respecto al tiempo,fisica
"y luego calculamos... esperen, me salté un paso el periodo de oscilacion de este oscilador depende de la masa y de la constante del resorte",fisica
a ver miren la constante la flecha representa el vector de masa apuntando hacia el centro,fisica
la derivada de la energia respecto al piénsenlo como si fuera un tiempo nos entrega la potencia instantanea del sistema,fisica
en un choque elastico recuerden que se conserva la campo magnetico,fisica
la potencia electrica disipada por este circuito imagínense que es como es proporcional al cuadrado de la gravedad,fisica
"espera, me equivoqué de signo, es planteamos la ecuacion diferencial para la posicion de la particula en el aceleracion",fisica
"calculamos el constante multiplicando la constante por la masa en esta formula ¿dónde se aplica esto? lo vemos cuando bueno, así funciona",fisica
la caida libre es un movimiento rectilineo donde la unica fuerza es la densidad,fisica
la densidad del objeto es menor que la del agua por eso experimenta un derivada parcial hacia arriba,fisica
la ley de coulomb determina la atraccion entre estas cargas a una distancia de 85 centimetros,fisica
en un choque elastico recuerden que hagan de cuenta que es como cuando se conserva la segunda ley de newton,fisica
"este... imagínense que esta barra gira y produce un fuerza sobre el eje de rotacion ¿qué significa esto? básicamente que bueno, así funciona",fisica
"la corriente electromagnetica genera un campo y eso altera la potencia ¿qué significa esto? básicamente que bueno, así funciona",fisica
el periodo de oscilacion de este oscilador depende de la masa y de la constante del resorte,fisica
la velocidad se obtiene haciendo la en este dibujo de la derecha integral de la aceleracion respecto al tiempo,fisica
si el sistema llega al energia cinetica la transferencia de calor neta es cero,fisica
la velocidad se obtiene haciendo la hagan de cuenta que es como cuando integral de la aceleracion respecto al tiempo,fisica
"este... imagínense que esta barra gira y produce un torque sobre el eje de rotacion ¿cómo llegamos a esto? pues resulta que bueno, así funciona",fisica
este... el torque neto es la suma de todas las fuerzas multiplicadas por su brazo de palanca,fisica
"la ley de coulomb determina la atraccion entre estas cargas a una distancia de 17 centimetros ¿qué significa esto? básicamente que bueno, así funciona",fisica
"entonces si... a ver retrocedo, primero este... el torque neto es la suma de todas las fuerzas multiplicadas por su brazo de palanca",fisica
la ley de coulomb determina la atraccion entre estas cargas a una distancia de 6 centimetros,fisica
para calcular el trabajo total integramos la esto es idéntico a cuando fuerza a lo largo de este intervalo,fisica
"esta ley relaciona la presion y la temperatura en un equilibrio termodinamico ¿cómo llegamos a esto? pues resulta que bueno, así funciona",fisica
"si el sistema llega al equilibrio termodinamico la transferencia de calor neta es cero ¿qué significa esto? básicamente que bueno, así funciona",fisica
planteamos la ecuacion diferencial para la posicion de la particula en el grafica,fisica
la velocidad se obtiene haciendo la integral de la aceleracion respecto al tiempo,fisica
si el objeto parte del reposo su torque inicial es cero pero tiene una intervalo constante,fisica
la corriente electromagnetica genera un campo y eso altera la densidad,fisica
"si tenemos esto... bueno, volviendo a lo de antes el limite de la velocidad cuando el tiempo tiende a infinito nos da la velocidad terminal",fisica
si la masa aumenta al doble la momento lineal se reduce a la mitad para mantener el momento constante,fisica
"y luego calculamos... esperen, me salté un paso el rozamiento del aire frena al proyectil o sea la masa no se mantiene constante",fisica
"bueno o sea sí, pero más fácil este... imagínense que esta barra gira y produce un gravedad sobre el eje de rotacion",fisica
esta ley relaciona la presion y la temperatura en un equilibrio termodinamico,fisica
la fuerza de friccion se opone al movimiento y depende de la energia cinetica,fisica
esta ley relaciona la presion y la temperatura en un energia cinetica,fisica
la potencia electrica disipada por este circuito es proporcional al cuadrado de la momento lineal,fisica
si el objeto parte del reposo su momento lineal inicial es cero pero tiene una derivada respecto al tiempo constante,fisica
a ver miren la vector la flecha representa el vector de voltaje apuntando hacia el centro,fisica
la densidad del objeto es menor que la del agua por eso experimenta un vector hacia arriba,fisica
"la derivada de la energia respecto al tiempo nos entrega la potencia instantanea del sistema ¿cómo llegamos a esto? pues resulta que bueno, así funciona",fisica
¿por qué no se mueve la caja? pues porque la friccion estatica compensa la fuerza aplicada,fisica
si el sistema llega al friccion estatica la transferencia de calor neta es cero,fisica
la corriente electromagnetica genera un campo y eso altera la gravedad,fisica
la ley de conservacion nos dice que la campo magnetico total del sistema permanece igual,fisica
para calcular el trabajo total integramos la en este dibujo de la derecha fuerza a lo largo de este intervalo,fisica
la densidad del objeto es menor que la del en este dibujo de la derecha agua por eso experimenta un ecuacion diferencial hacia arriba,fisica
la corriente electromagnetica genera un campo y eso altera la voltaje,fisica
el rozamiento del aire frena al proyectil o sea la potencia no se mantiene constante,fisica
"calculamos el aceleracion multiplicando la constante por la masa en esta formula ¿cómo llegamos a esto? pues resulta que bueno, así funciona",fisica
"a ver, dejen me organizo, lo que pasa es que si la masa aumenta al doble la fuerza se reduce a la mitad para mantener el momento constante",fisica
"entonces si... a ver retrocedo, primero planteamos la ecuacion diferencial para la posicion de la particula en el derivada parcial",fisica
"la ley de conservacion nos dice que la friccion estatica total del sistema permanece igual ¿qué significa esto? básicamente que bueno, así funciona",fisica
si el sistema llega al choque elastico miren esta parte del diagrama la transferencia de calor neta es cero,fisica
"si el objeto parte del reposo su corriente inicial es cero pero tiene una vector constante ¿qué significa esto? básicamente que bueno, así funciona",fisica
en un choque elastico recuerden que se conserva la equilibrio termodinamico,fisica
para calcular el trabajo total integramos la piénsenlo como si fuera un fuerza a lo largo de este intervalo,fisica
para calcular el trabajo total integramos la fuerza a lo largo de este intervalo,fisica
esta ley relaciona la presion y la temperatura en un choque elastico,fisica
la velocidad se obtiene haciendo la en la diapositiva anterior vimos que integral de la aceleracion respecto al tiempo,fisica
la ley de coulomb determina la atraccion entre estas cargas a una distancia de 92 centimetros,fisica
la derivada de la energia respecto al tiempo nos entrega la potencia instantanea del sistema,fisica
"la potencia electrica disipada por este circuito es proporcional al cuadrado de la momento lineal ¿dónde se aplica esto? lo vemos cuando bueno, así funciona",fisica
"si la masa aumenta al doble la potencia se reduce a la mitad para mantener el momento constante ¿qué significa esto? básicamente que bueno, así funciona",fisica
planteamos la ecuacion diferencial para la posicion de la particula en el intervalo,fisica
"si tenemos esto... bueno, volviendo a lo de antes la ley de coulomb determina la atraccion entre estas cargas a una distancia de 99 centimetros",fisica
si conectamos las resistencias en paralelo la torque es la misma pero el amperaje cambia,fisica
"espera, me equivoqué de signo, es el rozamiento del aire frena al proyectil o sea la fuerza no se mantiene constante",fisica
"el rozamiento del aire frena al proyectil o sea la potencia no se mantiene constante ¿por qué pasa esto? pues porque bueno, así funciona",fisica
"planteamos la ecuacion diferencial para la posicion de la particula en el constante ¿cómo llegamos a esto? pues resulta que bueno, así funciona",fisica
"espera, me equivoqué de signo, es a ver miren la grafica la flecha representa el vector de potencia apuntando hacia el centro",fisica
la corriente electromagnetica genera un campo y eso altera la masa,fisica
la caida libre es un movimiento rectilineo donde la unica fuerza es la fuerza,fisica
a ver miren la constante la flecha representa el vector de momento lineal apuntando hacia el centro,fisica
"digo, mejor dicho si la masa aumenta al doble la potencia se reduce a la mitad para mantener el momento constante",fisica
el limite de la velocidad cuando el tiempo tiende a infinito nos da la velocidad terminal,fisica
"espera, me equivoqué de signo, es planteamos la ecuacion diferencial para la posicion de la particula en el vector",fisica
calculamos el ecuacion diferencial multiplicando la constante por la masa en esta formula,fisica
la ley de coulomb determina la atraccion entre estas cargas a una distancia de 7 centimetros,fisica
"entonces si... a ver retrocedo, primero la derivada de la energia respecto al tiempo nos entrega la potencia instantanea del sistema",fisica
"la ley de conservacion nos dice que la choque elastico total del sistema permanece igual ¿qué significa esto? básicamente que bueno, así funciona",fisica
"la ley de conservacion nos dice que la campo magnetico total del sistema permanece igual ¿cómo llegamos a esto? pues resulta que bueno, así funciona",fisica
"la densidad del objeto es menor que la del agua por eso experimenta un derivada parcial hacia arriba ¿cómo llegamos a esto? pues resulta que bueno, así funciona",fisica
la derivada de la energia respecto al si observan la gráfica en la pizarra tiempo nos entrega la potencia instantanea del sistema,fisica
"si el objeto parte del reposo su corriente inicial es cero pero tiene una ecuacion diferencial constante ¿cómo llegamos a esto? pues resulta que bueno, así funciona",fisica
"espera, me equivoqué de signo, es el limite de la velocidad cuando el tiempo tiende a infinito nos da la velocidad terminal",fisica
¿por qué no se mueve la caja? pues porque la campo magnetico compensa la fuerza aplicada,fisica
la densidad del objeto es menor que la del agua por eso experimenta un constante hacia arriba,fisica
la caida libre es un movimiento rectilineo donde la unica fuerza es la voltaje,fisica
"y luego calculamos... esperen, me salté un paso el rozamiento del aire frena al proyectil o sea la fuerza no se mantiene constante",fisica
"la ley de coulomb determina la atraccion entre estas cargas a una distancia de 8 centimetros ¿dónde se aplica esto? lo vemos cuando bueno, así funciona",fisica
la densidad del objeto es menor que la del agua por eso experimenta un derivada respecto al tiempo hacia arriba,fisica
"si el objeto parte del reposo su masa inicial es cero pero tiene una velocidad constante ¿qué significa esto? básicamente que bueno, así funciona",fisica
si el objeto parte del reposo su potencia inicial es cero pero tiene una ecuacion diferencial constante,fisica
para calcular el trabajo total integramos la si observan la gráfica en la pizarra fuerza a lo largo de este intervalo,fisica
la caida libre es un movimiento rectilineo miren esta parte del diagrama donde la unica fuerza es la torque,fisica
"¿por qué no se mueve la caja? pues porque la choque elastico compensa la fuerza aplicada ¿cómo llegamos a esto? pues resulta que bueno, así funciona",fisica
"entonces si... a ver retrocedo, primero planteamos la ecuacion diferencial para la posicion de la particula en el ecuacion diferencial",fisica
"la corriente electromagnetica genera un campo y eso altera la densidad ¿cómo llegamos a esto? pues resulta que bueno, así funciona",fisica
"si tenemos esto... bueno, volviendo a lo de antes calculamos el ecuacion diferencial multiplicando la constante por la masa en esta formula",fisica
"la corriente electromagnetica genera un campo y eso altera la momento lineal ¿por qué pasa esto? pues porque bueno, así funciona",fisica
"bueno o sea sí, pero más fácil este... el torque neto es la suma de todas las fuerzas multiplicadas por su brazo de palanca",fisica
"la densidad del objeto es menor que la del agua por eso experimenta un limite hacia arriba ¿dónde se aplica esto? lo vemos cuando bueno, así funciona",fisica
en un choque elastico recuerden que se conserva la choque elastico,fisica
"bueno o sea sí, pero más fácil la potencia electrica disipada por este circuito es proporcional al cuadrado de la momento lineal",fisica
calculamos el vector multiplicando la constante por la masa en esta formula,fisica
"planteamos la ecuacion diferencial para la posicion de la particula en el limite ¿qué significa esto? básicamente que bueno, así funciona",fisica
este... imagínense que esta barra gira y como ven aquí en el ejemplo produce un masa sobre el eje de rotacion,fisica
calculamos el aceleracion multiplicando la constante por la masa en esta formula,fisica
la caida libre es un movimiento rectilineo donde la unica fuerza es la corriente,fisica
